Id	Desc	Drop1	Drop2	Drop3	Drop4	Drop5	Drop6	Drop7	Drop8	Drop9	Drop10	Drop11	Drop12	Drop13	Drop14	Drop15	Drop16	Drop17	Drop18	Drop19	Drop20	Drop21	Drop22	Drop23	Drop24	Drop25	Drop26	Drop27	Drop28	Drop29	Drop30	Drop31	Drop32	Drop33	Drop34	Drop35	Drop36	Drop37	Drop38	Drop39	Drop40	Drop41	Drop42	Drop43	Drop44	Drop45	Drop46	Drop47	Drop48	Drop49	Drop50	Drop51	Drop52
634	钻石宝箱母包	34501	34501	34501	34501	34501	34501	34501	34501	34501	34501	34501	34501	34501	34501	34501	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507	34507
635	金宝箱母包	34502	34502	34502	34502	34502	34502	34502	34502	34502	34502	34502	34502	34502	34502	34502	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508	34508
636	银宝箱母包	34503	34503	34503	34503	34503	34503	34503	34503	34503	34503	34503	34503	34503	34503	34503	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509	34509
637	铜宝箱母包	34504	34504	34504	34504	34504	34504	34504	34504	34504	34504	34504	34504	34504	34504	34504	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510	34510
638	铁宝箱母包	34505	34505	34505	34505	34505	34505	34505	34505	34505	34505	34505	34505	34505	34505	34505	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511	34511
639	木宝箱母包	34506	34506	34506	34506	34506	34506	34506	34506	34506	34506	34506	34506	34506	34506	34506	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512	34512
640	帮会神兽-小贝壳	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513	34513
641	帮会神兽-稀有小贝壳	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514	34514
642	帮会神兽-区域1稀有贝壳	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515	34515
643	中秋-瑶花宝箱	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516	34516
644	圣诞宝箱组3	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517	34517
664	仙魔劫-祖龙黄金宝箱	22300	22300	22300	22300	22300	22300	22300	22300	22300	22300	22300	22300	22300	22300	22300	22301	22301	22301	22301	22302	22302	22302	22302	22303	22303	22303	22303	22303	22303	22303	22303	22303	22303	22303	22303	22304	22304	22304	22304	22305	22305	22305	22305	22306	22306	22307	22307	22308	22308	22308	22308	22309
665	仙魔劫-剑仙积羽黄金宝箱	22316	22316	22316	22316	22316	22316	22316	22316	22316	22316	22316	22316	22316	22316	22316	22317	22317	22317	22317	22318	22318	22318	22318	22319	22319	22319	22319	22319	22319	22319	22319	22319	22319	22319	22319	22320	22320	22320	22320	22321	22321	22321	22321	22322	22322	22323	22323	22324	22324	22324	22324	22325
666	仙魔劫-祖龙白银宝箱	22332	22332	22332	22332	22332	22332	22332	22332	22332	22332	22332	22332	22332	22332	22332	22333	22333	22333	22333	22334	22334	22334	22334	22335	22335	22335	22335	22335	22335	22335	22335	22335	22335	22335	22335	22336	22336	22336	22336	22337	22337	22337	22337	22338	22338	22339	22339	22340	22340	22340	22340	22341
667	仙魔劫-剑仙积羽白银	22348	22348	22348	22348	22348	22348	22348	22348	22348	22348	22348	22348	22348	22348	22348	22349	22349	22349	22349	22350	22350	22350	22350	22351	22351	22351	22351	22351	22351	22351	22351	22351	22351	22351	22351	22352	22352	22352	22352	22353	22353	22353	22353	22354	22354	22355	22355	22356	22356	22356	22356	22357
668	仙魔劫-祖龙青铜宝箱	22364	22364	22364	22364	22364	22364	22364	22364	22364	22364	22364	22364	22364	22364	22364	22365	22365	22365	22365	22366	22366	22366	22366	22367	22367	22367	22367	22367	22367	22367	22367	22367	22367	22367	22367	22368	22368	22368	22368	22369	22369	22369	22369	22370	22370	22371	22371	22372	22372	22372	22372	22373
669	仙魔劫-剑仙积羽青铜宝箱	22380	22380	22380	22380	22380	22380	22380	22380	22380	22380	22380	22380	22380	22380	22380	22381	22381	22381	22381	22382	22382	22382	22382	22383	22383	22383	22383	22383	22383	22383	22383	22383	22383	22383	22383	22384	22384	22384	22384	22385	22385	22385	22385	22386	22386	22387	22387	22388	22388	22388	22388	22389
670	仙魔劫-最后一击宝箱	22396	22396	22396	22396	22396	22396	22396	22396	22396	22396	22396	22396	22396	22396	22396	22397	22397	22397	22397	22398	22398	22398	22398	22399	22399	22399	22399	22399	22399	22399	22399	22399	22399	22399	22399	22400	22400	22400	22400	22401	22401	22401	22401	22402	22402	22403	22403	22404	22404	22404	22404	22405
700	回流-防具橙装材料宝箱	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40101	40101	40101	40101	40102	40102	40102	40102	40103	40103	40103	40103	40103	40103	40103	40103	40103	40103	40103	40103	40104	40104	40104	40104	40105	40105	40105	40105	40106	40106	40106	40106	40106	40106	40106	40106
701	回流-装备礼包	2100	2100	2100	2100	2100	2100	2100	2100	2100	2100	2100	2100	2101	2101	2102	2102	2103	2103	2104	2104	2105	2105	2106	2106	2107	2107	2107	2107	2107	2107	2107	2107	2107	2107	2107	2107	2108	2108	2109	2109	2110	2110	2111	2111	2112	2112	2113	2113	2113	2113	2113	2113
