Id	Desc	Name	SceneResource	DBIndex	SceneRuleID	Type	IsOriginalWorldLoad	IsBigWorldLoad	IsBattleServerLoad	IsBattleCopySceneWorldLoad	Length	Width	Obstacle	Tussock	SceneMapTexture	SceneMapWidth	SceneMapHeight	SceneMapLogicWidth	BGMusic	CopySceneID	CopySceneReEnterable	MaxInstCount	PlayersMaxA	PlayersMaxB	PlayersMaxC	GroupNormalSize	GroupSlowSize	GroupPauseSize	ReliveType_1	ReliveType_2	ReliveType_3	ReliveType_4	Entry_x	Entry_z	Safe_x	Safe_z	ReliveOriginalNum	ReliveEntryNum	EnterSceneEffect	LeaveSceneEffect	WMEnterLevelLimit	EnterNoticeDicID	CanUsePlanScene	PlayerViewRadius	PlayerViewEdgeInc	ChangeTab	SafeAreaIndex	DamageRefixAreaIndex	SeamlessOffSetX	SeamlessOffsetZ	IsSeamlessLoadAll	LoadLevel	IsHideSummonMonster	IsAutoDisableOtherPlayerEffect	OpenNearPlayerLv	CancelGuiDaoGuWangTrans	CancelLieShanTrans	OpenMainUIAutoFade	IsTianHuaFly	ChatPaoMinLevel	InviteeLv	IsMagicSkillOpen
217	河阳城-隐藏任务-炼器失败	河阳城	7	217	4	2	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	99	83	0	-1	40	56	-1	16	80	100	1	1	1	1	82	94	82	94	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
218	副本击败年兽	驱年兽，贺新春	21	218	6	2	1	0	0	0	37	74	./Scene/Fb_Menghuiheyang.path		menghuiheyang	222	222	74	30	85	0	-1	5	10	-1	10	80	100	1	1	1	1	13	16	13	16	-1	-1	0	0	1	-1	0	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
219	【废弃】主线-背水一战	长生界	41	219	12	2	0	1	0	0	512	512	./Scene/Bw_Shangguyijie.path		heyangcheng	128	128	512	485	87	0	-1	40	56	-1	18	80	100	1	1	1	1	199.9	35.6	199.9	35.6	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
220	焚香内谷	焚香内谷	136	220	0	1	1	0	0	0	128	128	./Scene/Yw_Fenxiangneigu.path		fenxiangneigu	384	384	128	680	0	0	-1	40	56	-1	8	80	100	1	1	1	1	109.77	29.02	109.77	29.02	-1	-1	1	1	10	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
221	焚香内谷相位	焚香内谷	136	221	4	2	1	0	0	0	128	128	./Scene/Yw_huqishan.path		fenxiangneigu	384	384	128	680	88	0	-1	40	56	-1	16	80	100	1	1	1	1	109.77	29.02	109.77	29.02	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
222	敬师堂	敬师堂	137	222	4	2	1	0	0	0	96	96	./Scene/Fb_Jingshitang.path		fenxianggu	384	384	128	99	88	0	-1	40	56	-1	16	80	100	1	1	1	1	61.8	17.1	61.8	17.1	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
223	帮派副本-蓬莱秘境	蓬莱岛	138	223	6	2	1	1	0	0	96	96	./Scene/Fb_Penglaidao01.path		penglaidao	480	480	96	30	89	1	-1	75	75	-1	10	80	100	0	1	1	1	25.72	21.67	25.72	21.67	-1	-1	0	0	1	-1	1	100	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
224	帮派副本-蓬莱秘境	九黎岛	140	224	6	2	1	1	0	0	96	96	./Scene/Fb_Penglaidao02.path		jiulidao	480	480	96	41	90	1	-1	75	75	-1	10	80	100	0	1	1	1	16.12	12.43	16.12	12.43	-1	-1	0	0	1	-1	1	100	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
225	帮派副本-蓬莱秘境	娲皇岛	141	225	6	2	1	1	0	0	96	96	./Scene/fb_penglaidao03.path		wahuangdao	480	480	96	41	91	1	-1	75	75	-1	10	80	100	0	1	1	1	47.68	50.71	47.68	50.71	-1	-1	0	0	1	-1	1	100	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
226	帮派副本-蓬莱秘境	地皇岛	139	226	6	2	1	1	0	0	96	96	./Scene/fb_penglaidao04.path		dihuangdao	480	480	96	30	92	1	-1	75	75	-1	10	80	100	0	1	1	1	39.46	40.38	39.46	40.38	-1	-1	0	0	1	-1	1	100	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
227	儿童节活动场景	幻之境	21	227	20	1	1	1	0	0	37	74	./Scene/Fb_Menghuiheyang.path		menghuiheyang	222	222	74	99	0	0	-1	40	56	-1	8	80	100	1	1	1	1	26.06	22.43	26.06	22.43	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	1	1	0	1	0	-1	0
228	段氏山庄	段氏山庄	147	228	0	1	1	0	0	0	128	128	./Scene/Yw_Duanshishanzhuang.path		Duanshishanzhuang	384	384	128	1040	0	0	-1	40	56	-1	8	80	100	1	1	1	1	12.4	44	12.4	44	-1	-1	1	1	25	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	50	-1	1
229	苍梧镇	苍梧镇	148	229	0	1	1	0	0	0	128	128	./Scene/Yw_Cangwuzhen.path		cangwuzhen	384	384	128	120	0	0	-1	40	56	-1	8	80	100	1	1	1	1	117.18	14	117.18	14	-1	-1	1	1	30	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	1	1	0	-1	1
230	云梦宗	云梦川	149	230	0	1	1	0	0	0	256	256	./Scene/Yw_Yunmengzong.path		yunmengzong	768	768	256	866	0	0	-1	40	56	-1	8	80	100	1	1	1	1	49.7	46.7	49.7	46.7	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	2	0	0	999	0	0	1	1	50	11	1
231	段氏山庄-相位（仅BOSS）	段氏山庄	147	231	12	2	1	0	0	0	128	128	./Scene/Yw_Duanshishanzhuang.path		Duanshishanzhuang	384	384	128	1040	97	0	-1	40	56	-1	16	80	100	1	1	1	1	105.92	11.13	105.92	11.13	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
232	野外	神木幻境	150	232	11	1	1	0	0	0	32	32	./Scene/Fb_shenmuhuanjing.path		menghuiheyang	96	96	32	1040	0	0	-1	40	56	-1	8	80	100	1	1	1	1	15.37	15.26	15.37	15.26	-1	-1	1	1	15	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
233	云梦宗通用相位（有小怪）	歌乐村	149	233	4	2	1	0	0	0	256	256	./Scene/Yw_Yunmengzong.path		yunmengzong	768	768	256	866	93	0	-1	40	56	-1	16	80	100	1	1	1	1	227.1	15.7	227.1	15.7	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	11	1
234	云梦宗通用相位（仅BOSS）	云梦宗	149	234	12	2	1	0	0	0	256	256	./Scene/Yw_Yunmengzong.path		yunmengzong	768	768	256	941	94	0	-1	40	56	-1	16	80	100	1	1	1	1	213.5	146	213.5	146	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	11	1
235	云梦相位-搀扶而行	歌乐村	149	235	4	2	1	0	0	0	256	256	./Scene/Yw_Yunmengzong.path		yunmengzong	768	768	256	940	95	0	-1	40	56	-1	16	80	100	1	1	1	1	149.5	53.9	149.5	53.9	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	1	1	0	1	0	11	0
236	云梦相位-药老玩心	歌乐村	149	236	4	2	1	0	0	0	256	256	./Scene/Yw_Yunmengzong.path		yunmengzong	768	768	256	866	96	0	-1	40	56	-1	16	80	100	1	1	1	1	146.1	79.5	146.1	79.5	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	11	0
237	苍梧镇-相位（仅BOSS）	苍梧镇	148	237	12	2	1	0	0	0	128	128	./Scene/Yw_Cangwuzhen.path		cangwuzhen	384	384	128	120	98	0	-1	40	56	-1	16	80	100	1	1	1	1	117.18	14	117.18	14	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
238	挖宝活动副本-死灵渊	深渊探秘	9	238	6	2	1	0	0	0	44	74	./Scene/Fb_silingyuan.path		silingyuan	240	240	80	41	99	0	-1	5	10	-1	10	60	100	1	1	1	1	16.5	12	16.5	2.49	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
239	挖宝活动副本-幻月洞	幻月密藏	5	239	6	2	1	0	0	0	48	48	./Scene/Fb_huanyuedongfu.path		huanyuedongfu	144	144	48	31	100	0	-1	5	10	-1	10	60	100	1	1	1	1	17	21	17	2	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
240	挖宝活动副本-草庙村	孤村寻宝	8	240	6	2	1	0	0	0	34	34	./Scene/Fb_caomiaocun.path		caomiaocun	120	120	40	30	101	0	-1	5	10	-1	10	60	100	1	1	1	1	22	14	22	14	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
241	挖宝活动副本-天帝宝库1	天帝护卫	32	241	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	102	0	-1	5	10	-1	10	60	100	1	1	1	1	22	22	22	22	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
242	挖宝活动副本-天帝宝库2	天门再启	32	242	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	103	0	-1	5	10	-1	10	60	100	1	1	1	1	11	7.46	11	7.46	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
243	新首登副本	云深不知处	149	243	6	2	1	0	0	0	256	256	./Scene/Yw_Yunmengzong.path		menghuiheyang	768	768	256	1080	104	0	-1	40	56	-1	16	80	100	1	1	1	1	60.31	77.37	60.31	77.37	-1	-1	0	0	1	-1	0	1000	4	0	-1	-1	0	0	1	1	0	0	1	0	0	0	1	0	-1	1
244	段氏山庄-相位（有小怪）	段氏山庄	147	244	4	2	1	0	0	0	128	128	./Scene/Yw_Duanshishanzhuang.path		Duanshishanzhuang	384	384	128	1040	97	0	-1	40	56	-1	16	80	100	1	1	1	1	105.92	11.13	105.92	11.13	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
245	苍梧镇-相位（有小怪）	苍梧镇	148	245	4	2	1	0	0	0	128	128	./Scene/Yw_Cangwuzhen.path		cangwuzhen	384	384	128	120	98	0	-1	40	56	-1	16	80	100	1	1	1	1	117.18	14	117.18	14	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
246	家园场景1	云梦庭	167	246	21	5	1	0	0	0	208	208	./Scene/Fb_Jiayuan.path		jiayuan	624	624	208	866	0	0	-1	20	20	-1	20	80	100	1	1	1	1	100	91	99	98	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	1	1	0	-1	1
247	家园样板间	云梦庭	168	247	28	1	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	0	0	-1	40	56	-1	8	80	100	1	1	1	1	119	55	121	51	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	1	1	0	-1	1
248	家族活动副本-云峰炼药	云峰炼药	10	248	6	2	1	0	0	0	50	50	./Scene/Fb_Banghuishudi.path		banghuishudi	150	150	50	30	105	0	-1	40	56	-1	10	80	100	1	1	1	1	29	33	29	33	-1	-1	0	0	1	-1	0	1000	4	1	-1	-1	0	0	0	2	1	0	1	1	1	0	1	0	-1	0
249	样板间-相位1	云梦庭	168	249	3	2	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	106	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
250	样板间-相位2	云梦庭	168	250	3	2	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	107	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
251	样板间-相位3	云梦庭	168	251	3	2	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	108	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
252	样板间-相位4	云梦庭	168	252	3	2	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	109	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
253	样板间-相位5	云梦庭	168	253	3	2	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	110	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
254	千机阁	千机阁	169	254	0	1	1	0	0	0	128	128	./Scene/Yw_Qianjige.path		qianjige	384	384	128	1205	0	0	-1	40	56	-1	16	80	100	1	1	1	1	14.19	55.2	14.19	55.2	-1	-1	1	1	15	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
255	千机阁-相位（仅BOSS）	千机阁	169	255	12	2	1	0	0	0	128	128	./Scene/Yw_Qianjige.path		qianjige	384	384	128	1205	111	0	-1	40	56	-1	16	80	100	1	1	1	1	14.19	55.2	14.19	55.2	-1	-1	0	0	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
256	千机秘境	千机秘境	5	-1	11	1	1	0	0	0	48	48	./Scene/Fb_huanyuedongfu.path		huanyuedongfu	144	144	48	31	0	0	-1	40	56	-1	8	80	100	1	1	1	1	19.75	20.81	19.75	20.81	-1	-1	1	1	130	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
257	千机秘境-相位（仅BOSS）	千机秘境	5	-1	12	2	1	0	0	0	48	48	./Scene/Fb_huanyuedongfu.path		huanyuedongfu	144	144	48	31	112	0	-1	40	56	-1	8	80	100	1	1	1	1	19.75	20.81	19.75	20.81	-1	-1	0	0	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
258	千机阁-逼出毒素	寒蝉林	169	-1	12	2	1	0	0	0	128	128	./Scene/Yw_Qianjige.path		qianjige	384	384	128	1205	113	0	-1	40	56	-1	16	80	100	1	1	1	1	14.19	55.2	14.19	55.2	-1	-1	0	0	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	1	1	0	1	0	-1	1
259	千机阁-接受挑战	千机内阁	169	-1	12	2	1	0	0	0	128	128	./Scene/Yw_Qianjige.path		qianjige	384	384	128	31	114	0	-1	40	56	-1	16	80	100	1	1	1	1	14.19	55.2	14.19	55.2	-1	-1	0	0	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
260	地劫	蟠龙地劫	40	-1	4	2	1	0	0	0	128	128	./Scene/Yw_Panlongfeng.path		panlongfeng	384	384	128	626	115	0	-1	5	10	-1	8	80	100	0	0	1	0	106	59	106.7	103.49	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
261	天劫	九雷天劫	5	-1	4	2	1	0	0	0	48	48	./Scene/Fb_huanyuedongfu.path		huanyuedongfu	144	144	48	31	116	0	-1	5	10	-1	10	80	100	0	0	1	0	19.17	33.58	17.72	37	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
262	【废弃】千机阁	千机阁	169	-1	4	2	1	0	0	0	128	128	./Scene/Yw_Qianjige.path		Duanshishanzhuang	384	384	128	1040	97	0	-1	40	56	-1	16	80	100	1	1	1	1	105.92	11.13	105.92	11.13	-1	-1	1	1	1	-1	1	40	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
263	青云山-飞升相位	青云山	3	-1	4	2	1	0	0	0	128	128	./Scene/zc_qingyunshan.path		qingyunshan	384	384	128	335	5	0	-1	40	56	-1	16	80	100	1	1	1	1	3.43	9.51	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
264	天音寺-飞升相位	天音寺	14	-1	4	2	1	0	0	0	128	128	./Scene/Yw_Tianyinsi.path		tianyinsi	384	384	128	335	6	0	-1	40	56	-1	16	80	100	1	1	1	1	113.37	12.42	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
265	毒蛇谷-飞升相位	毒蛇谷	27	-1	0	2	1	0	0	0	128	128	./Scene/Yw_Dushegu.path		dushegu	384	384	128	210	51	0	-1	40	56	-1	16	80	100	1	1	1	1	13.8	112.4	13.8	112.4	-1	-1	1	1	30	-1	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
266	挖宝活动运营副本1	搞事之渊	9	-1	6	2	1	0	0	0	44	74	./Scene/Fb_silingyuan.path		silingyuan	240	240	80	41	118	0	-1	5	10	-1	10	60	100	1	1	1	1	16.5	12	16.5	2.49	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
267	挖宝活动运营副本2	幻月备用	5	-1	6	2	1	0	0	0	48	48	./Scene/Fb_huanyuedongfu.path		huanyuedongfu	144	144	48	31	119	0	-1	5	10	-1	10	60	100	1	1	1	1	17	21	17	2	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
268	挖宝活动运营副本3	捣蛋村	8	-1	6	2	1	0	0	0	34	34	./Scene/Fb_caomiaocun.path		caomiaocun	120	120	40	30	120	0	-1	5	10	-1	10	60	100	1	1	1	1	22	14	22	14	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
269	挖宝活动运营副本4	天帝备用	32	-1	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	121	0	-1	5	10	-1	10	60	100	1	1	1	1	22	22	22	22	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
270	挖宝活动运营副本5	天帝备用	32	-1	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	122	0	-1	5	10	-1	10	60	100	1	1	1	1	11	7.46	11	7.46	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
271	跨服帮战	跨服帮战	170	-1	6	2	1	0	0	0	96	96	./Scene/Fb_Kuafubangzhan.path		tiandibaoku	320	320	64	41	122	0	-1	5	10	-1	10	60	100	1	1	1	1	11	7.46	11	7.46	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
272	天墟九宫	天墟九宫	171	-1	6	2	1	1	0	0	128	128	./Scene/Fb_Tianxujiugong.path		tianxujiugong	384	384	128	31	123	0	-1	5	10	-1	10	60	100	1	1	1	1	70	16	70	16	-1	-1	0	0	150	-1	0	1000	4	0	-1	-1	0	0	0	1	0	1	1	0	0	0	1	0	-1	1
273	天墟九宫-辅副本1	烈火宫	24	-1	6	2	1	1	0	0	48	48	./Scene/Fb_xuanhuotandiyiceng.path		xuanhuotan1	144	144	48	206	124	0	-1	5	10	-1	10	60	100	1	1	1	1	26	44	26	44	-1	-1	0	0	150	-1	0	16	4	0	-1	-1	0	0	0	1	0	1	1	0	0	0	1	0	-1	1
274	天墟九宫-辅副本2	寒冰室	25	-1	6	2	1	1	0	0	32	32	./Scene/Fb_xuanhuotandierceng.path		xuanhuotan2	96	96	32	31	125	0	-1	5	10	-1	10	60	100	1	1	1	1	17	16	17	16	-1	-1	0	0	150	-1	0	16	4	0	-1	-1	0	0	0	1	0	1	1	0	0	0	1	0	-1	1
275	天墟九宫-辅副本3	水韵轩	137	-1	6	2	1	1	0	0	96	96	./Scene/Fb_Jingshitang.path		fenxianggu	384	384	128	99	126	0	-1	5	10	-1	10	60	100	1	1	1	1	31	23	31	23	-1	-1	0	0	150	1	0	16	4	0	-1	-1	0	0	0	1	0	1	1	0	0	0	1	0	-1	1
276	圣诞节日副本-冰雪之地	冰霜极地	172	-1	6	2	1	0	0	1	48	48	./Scene/Fb_Daxuezhang.path		daxuezhang	144	144	48	1254	127	0	-1	10	10	-1	10	80	100	0	0	0	0	29	33	29	33	-1	-1	0	0	1	-1	0	1000	4	1	-1	-1	0	0	0	2	1	0	1	1	1	0	1	0	-1	0
277	样板间-相位6	云梦庭	168	-1	3	2	1	0	0	0	128	128	./Scene/Fb_Jiayuan_yangbanjian.path		jiayuan	384	384	128	64	128	0	-1	40	56	-1	8	80	100	1	1	1	1	52	67	52	67	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	0	1	0	-1	1
278	日常boss副本-天地宝库	鸿蒙试炼	32	-1	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	2	129	0	-1	5	10	-1	10	80	100	1	1	1	1	20.48	22.26	20.48	22.26	-1	-1	0	0	1	-1	0	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
279	日常boss副本-草庙村	鸿蒙试炼	8	-1	6	2	1	0	0	0	34	34	./Scene/Fb_caomiaocun.path		caomiaocun	120	120	40	30	130	0	-1	5	10	-1	10	80	100	1	1	1	1	22.6	11.73	22.6	11.73	-1	-1	0	0	1	-1	0	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
280	日常boss副本-梦回河阳	鸿蒙试炼	21	-1	6	2	1	0	0	0	37	74	./Scene/Fb_Menghuiheyang.path		menghuiheyang	222	222	74	30	131	0	-1	5	10	-1	10	80	100	1	1	1	1	17.31	16.62	17.31	16.62	-1	-1	0	0	1	-1	0	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
281	拯救萌猴-相位	大王村	30	-1	4	2	1	0	0	0	128	128	./Scene/Yw_Dawangcun.path		dawangcun	384	384	128	41	132	0	-1	40	56	-1	16	80	100	1	1	1	1	16.38	24.88	16.38	24.88	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
282	保护婆婆-相位	河阳城	7	-1	4	2	1	0	0	0	128	128	./Scene/Zc_Heyangcheng.path		heyangcheng	384	384	128	41	133	0	-1	40	56	-1	16	80	100	1	1	1	1	52	67	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
283	飞升任务-纯阳圣火-新	镇魔古洞	31	-1	6	2	1	0	0	0	96	96	./Scene/Fb_Zhenmogudong.path		zhenmogudong	480	480	96	31	134	0	-1	40	56	-1	10	80	100	1	1	1	1	69.73	46.08	69.73	46.08	-1	-1	0	0	1	-1	1	100	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
284	飞升任务-除魔证道	玄冥殿	106	-1	6	2	1	0	0	0	48	48	./Scene/Fb_moshenjianglin.path		xuanhuotan1	144	144	48	206	135	0	-1	40	56	-1	10	80	100	1	1	1	1	24.22	24.02	24.22	1	-1	-1	0	0	1	-1	1	100	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
285	挖宝活动副本-第二种付费图1	天帝护卫	32	-1	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	102	0	-1	5	10	-1	10	60	100	1	1	1	1	22	22	22	22	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
286	挖宝活动副本-第二种付费图2	天门再启	32	-1	6	2	1	0	0	0	32	32	./Scene/Fb_Tiandibaoku.path		tiandibaoku	96	96	32	41	103	0	-1	5	10	-1	10	60	100	1	1	1	1	11	7.46	11	7.46	-1	-1	0	0	1	-1	1	16	4	1	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
287	家园场景2	星海庭	173	-1	21	5	1	0	0	0	200	200	./Scene/Yw_Xinjiayuan.path		jiayuan02	600	600	200	866	0	0	-1	20	20	-1	20	80	100	1	1	1	1	118.25	92.63	101.9	59.24	-1	-1	1	1	1	-1	1	16	4	0	-1	-1	0	0	0	3	0	0	1	0	0	1	1	0	-1	1
288	仙野源	仙野源	176	256	0	1	1	0	0	0	256	256	./Scene/Yw_Lingzongdao.path		yw_lingzongdao	768	768	256	1443	0	0	-1	40	56	-1	8	80	100	1	1	1	1	17.12	107.38	17.12	107.38	-1	-1	1	1	45	-1	1	40	4	0	-1	-1	0	0	0	2	0	0	1	0	0	1	1	0	-1	1
289	仙野源-相位-有小怪	仙野源	176	-1	4	2	1	0	0	0	256	256	./Scene/Yw_Lingzongdao.path		yw_lingzongdao	768	768	256	1443	138	0	-1	40	56	-1	16	80	100	1	1	1	1	17.12	107.38	17.12	107.38	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
290	仙野源-相位-无小怪	仙野源	176	-1	12	2	1	0	0	0	256	256	./Scene/Yw_Lingzongdao.path		yw_lingzongdao	768	768	256	1443	138	0	-1	40	56	-1	16	80	100	1	1	1	1	17.12	107.38	17.12	107.38	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
291	仙野源-祸不单行	仙野之森	176	-1	12	2	1	0	0	0	256	256	./Scene/Yw_Lingzongdao.path		yw_lingzongdao	768	768	256	1443	139	0	-1	40	56	-1	16	80	100	1	1	1	1	17.12	107.38	17.12	107.38	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	1	1	0	1	0	-1	1
292	仙野源-得意之作	灵踪道	176	-1	12	2	1	0	0	0	256	256	./Scene/Yw_Lingzongdao.path		yw_lingzongdao	768	768	256	1443	140	0	-1	40	56	-1	16	80	100	1	1	1	1	17.12	107.38	17.12	107.38	-1	-1	1	1	1	4122	1	16	4	0	-1	-1	0	0	0	1	0	0	1	0	0	0	1	0	-1	1
